Restaurant Name,City,Cuisines,Average Cost for two,Price range,Has Online delivery,Has Table booking,Votes,Aggregate rating,Longitude,Latitude,price_bucket,content
The Great Indian Food Truck,New Delhi,"chinese, mexican, italian",250,1,offline,offline,6,3.0,77.110907,28.6246348,moderate,"chinese, mexican, italian New Delhi moderate offline offline"
Tihar Food Court,New Delhi,fast food,300,1,offline,offline,14,2.9,77.1040333,28.6197878,moderate,fast food New Delhi moderate offline offline
Uncle Da Dhabha,New Delhi,north indian,200,1,offline,offline,6,3.0,77.0998706,28.6351319,cheap,north indian New Delhi cheap offline offline
Variety Chicken Corner,New Delhi,north indian,450,1,offline,offline,16,2.9,77.1074751,28.6212976,moderate,north indian New Delhi moderate offline offline
Wah Ji Wah,New Delhi,"mughlai, chinese",450,1,online,offline,9,2.5,77.0971697,28.6350345,moderate,"mughlai, chinese New Delhi moderate online offline"
9 Scoops,New Delhi,ice cream,300,1,offline,offline,33,3.6,77.0998371,28.635251,moderate,ice cream New Delhi moderate offline offline
Kati Roll Cottage,New Delhi,fast food,200,1,online,offline,14,3.5,77.0994344,28.6344684,cheap,fast food New Delhi cheap online offline
Pul Bangash Wale,New Delhi,"north indian, mughlai",300,1,offline,offline,89,3.7,77.097993,28.6315308,moderate,"north indian, mughlai New Delhi moderate offline offline"
Sunny Chicken Soup,New Delhi,north indian,200,1,offline,offline,75,3.6,77.0970504,28.6351651,cheap,north indian New Delhi cheap offline offline
Yo Momos,New Delhi,"chinese, north indian",300,1,online,offline,29,3.7,77.0977144,28.6314535,moderate,"chinese, north indian New Delhi moderate online offline"
Bikaner Sweets,New Delhi,"chinese, mithai",200,1,offline,offline,1,0.0,77.0997544,28.6344525,cheap,"chinese, mithai New Delhi cheap offline offline"
Bittoo Murge Wala,New Delhi,north indian,300,1,offline,offline,1,0.0,77.0972622,28.6360885,moderate,north indian New Delhi moderate offline offline
Jalebi Wala,New Delhi,desserts,100,1,offline,offline,2,0.0,77.0970875,28.6353275,cheap,desserts New Delhi cheap offline offline
Just Parkash,New Delhi,chinese,350,1,offline,offline,2,0.0,77.1088295,28.6628124,moderate,chinese New Delhi moderate offline offline
Kwality Sweet Corner,New Delhi,"chinese, mithai",200,1,offline,offline,3,0.0,77.1109839,28.6244686,cheap,"chinese, mithai New Delhi cheap offline offline"
Mohan Chaat Corner,New Delhi,"north indian, chinese",200,1,offline,offline,1,0.0,77.1073269,28.6212971,cheap,"north indian, chinese New Delhi cheap offline offline"
Mr. Momo,New Delhi,"fast food, chinese",350,1,offline,offline,1,0.0,77.0996828,28.6357503,moderate,"fast food, chinese New Delhi moderate offline offline"
Pishori Chicken Corner,New Delhi,"mughlai, fast food",350,1,offline,offline,1,0.0,77.1018025,28.6235852,moderate,"mughlai, fast food New Delhi moderate offline offline"
Punjab Patiyala Sahi,New Delhi,"mughlai, north indian",350,1,offline,offline,1,0.0,77.0974053,28.6342008,moderate,"mughlai, north indian New Delhi moderate offline offline"
Shama Chicken Corner,New Delhi,"biryani, mughlai",300,1,offline,offline,3,0.0,77.1108325,28.6258103,moderate,"biryani, mughlai New Delhi moderate offline offline"
Wah G Wah,New Delhi,"north indian, chinese",450,1,online,offline,2,0.0,77.098778,28.631327,moderate,"north indian, chinese New Delhi moderate online offline"
Grillz,New Delhi,fast food,500,2,online,offline,19,2.2,77.101117,28.625289,moderate,fast food New Delhi moderate online offline
The Barbeque Company,New Delhi,"north indian, chinese, continental",1200,3,offline,offline,621,4.2,77.1014229,28.6255344,expensive,"north indian, chinese, continental New Delhi expensive offline offline"
Anmol Chicken Corner,New Delhi,north indian,400,1,offline,offline,7,3.1,77.2349022,28.6498101,moderate,north indian New Delhi moderate offline offline
Babu Bhai Kabab Wale,New Delhi,mughlai,200,1,offline,offline,12,3.4,77.2339142,28.6472969,cheap,mughlai New Delhi cheap offline offline
Chicken Mughlai,New Delhi,"north indian, mughlai",350,1,offline,offline,6,3.0,77.2335637,28.6487528,moderate,"north indian, mughlai New Delhi moderate offline offline"
Cool Point Shahi Tukda,New Delhi,"desserts, beverages",100,1,offline,offline,5,3.1,77.2349022,28.6497205,cheap,"desserts, beverages New Delhi cheap offline offline"
Jawahar Hotel,New Delhi,"north indian, mughlai",500,2,offline,offline,40,3.4,77.2334814,28.649456,moderate,"north indian, mughlai New Delhi moderate offline offline"
Lalu Kababe,New Delhi,mughlai,200,1,offline,offline,13,3.2,77.2339276,28.6497621,cheap,mughlai New Delhi cheap offline offline
Phelwan Biryani Wala,New Delhi,mughlai,150,1,offline,offline,5,3.0,77.2350818,28.6470498,cheap,mughlai New Delhi cheap offline offline
Qureshi Kabab Corner,New Delhi,mughlai,300,1,offline,offline,5,3.0,77.2348573,28.6498506,moderate,mughlai New Delhi moderate offline offline
Al Jawahar,New Delhi,"mughlai, north indian",600,2,offline,offline,1585,3.8,77.2327023,28.6496214,moderate,"mughlai, north indian New Delhi moderate offline offline"
Aslam Chicken,New Delhi,mughlai,400,1,offline,offline,635,3.9,77.2335385,28.6486247,moderate,mughlai New Delhi moderate offline offline
Dil Pasand Biryani Point,New Delhi,biryani,200,1,offline,offline,12,3.5,77.2350818,28.6470498,cheap,biryani New Delhi cheap offline offline
Haji Mohd. Hussain,New Delhi,mughlai,300,1,offline,offline,22,3.6,77.2336085,28.6489324,moderate,mughlai New Delhi moderate offline offline
Kallan Sweets,New Delhi,mithai,100,1,offline,offline,75,3.8,77.2334979,28.649672,cheap,mithai New Delhi cheap offline offline
The Walled City - Caf�� & Lounge,New Delhi,"continental, north indian, mughlai, chinese",700,2,offline,offline,40,3.8,77.2328365,28.6491652,expensive,"continental, north indian, mughlai, chinese New Delhi expensive offline offline"
Al-Nawab,New Delhi,mughlai,300,1,offline,offline,0,0.0,77.2362096,28.6498224,moderate,mughlai New Delhi moderate offline offline
Ameer Sweets House,New Delhi,"mithai, street food",100,1,offline,offline,3,0.0,77.2345429,28.6468193,cheap,"mithai, street food New Delhi cheap offline offline"
Anwar Food Corner,New Delhi,mughlai,600,2,offline,offline,3,0.0,77.2331077,28.6497611,moderate,mughlai New Delhi moderate offline offline
Fish Point,New Delhi,north indian,200,1,offline,offline,2,0.0,77.2348182,28.6497507,cheap,north indian New Delhi cheap offline offline
Golden Bakery,New Delhi,bakery,100,1,offline,offline,1,0.0,77.2335999,28.6481181,cheap,bakery New Delhi cheap offline offline
Hotel Maidah,New Delhi,"north indian, mughlai",400,1,offline,offline,2,0.0,77.2328365,28.6492548,moderate,"north indian, mughlai New Delhi moderate offline offline"
Lahori Food,New Delhi,north indian,400,1,offline,offline,0,0.0,77.2333916,28.6493023,moderate,north indian New Delhi moderate offline offline
Majlis Foods,New Delhi,north indian,400,1,offline,offline,0,0.0,77.2355652,28.6498655,moderate,north indian New Delhi moderate offline offline
Cool Point,New Delhi,"desserts, beverages",100,1,offline,offline,69,4.2,77.2337024,28.6492691,cheap,"desserts, beverages New Delhi cheap offline offline"
Haji Shabrati Nihari Wale,New Delhi,mughlai,200,1,offline,offline,115,4.0,77.234498,28.6467702,cheap,mughlai New Delhi cheap offline offline
Karim's,New Delhi,"mughlai, north indian",800,2,offline,offline,4689,4.0,77.23363,28.6493933,expensive,"mughlai, north indian New Delhi expensive offline offline"
Qureshi Kabab Corner,New Delhi,mughlai,200,1,offline,offline,76,4.3,77.2348509,28.649739,cheap,mughlai New Delhi cheap offline offline
Bake Bikaner,New Delhi,"north indian, south indian, chinese, street food",500,2,online,offline,86,3.3,77.0781883,28.6178488,moderate,"north indian, south indian, chinese, street food New Delhi moderate online offline"
Barista,New Delhi,cafe,650,2,online,offline,74,3.3,77.081247,28.6308738,expensive,cafe New Delhi expensive online offline
Behrouz Biryani,New Delhi,biryani,600,2,online,offline,49,3.4,77.076075,28.624851,moderate,biryani New Delhi moderate online offline
Brunchilli,New Delhi,"north indian, chinese",800,2,online,offline,84,3.2,77.09158983,28.61913158,expensive,"north indian, chinese New Delhi expensive online offline"
Cafe Coffee Day,New Delhi,cafe,450,1,offline,offline,50,3.4,77.0919751,28.6270907,moderate,cafe New Delhi moderate offline offline
Chawla Dillivala,New Delhi,"north indian, chinese",600,2,offline,offline,91,2.7,77.08765,28.6217683,moderate,"north indian, chinese New Delhi moderate offline offline"
Dhaba Ambarsariya,New Delhi,"north indian, chinese",700,2,online,online,23,3.3,77.101121,28.625011,expensive,"north indian, chinese New Delhi expensive online online"
Domino's Pizza,New Delhi,"pizza, fast food",700,2,offline,offline,88,3.4,77.0903177,28.6298073,expensive,"pizza, fast food New Delhi expensive offline offline"
GPW - The Food Hub,New Delhi,"north indian, chinese",400,1,online,offline,70,3.0,77.0895476,28.6156773,moderate,"north indian, chinese New Delhi moderate online offline"
Green Bhojanalya,New Delhi,north indian,400,1,online,offline,96,3.2,77.0821521,28.6237445,moderate,north indian New Delhi moderate online offline
Hira Sweets,New Delhi,"north indian, south indian, street food, fast food, mithai",600,2,offline,offline,85,2.5,77.0870265,28.6330204,moderate,"north indian, south indian, street food, fast food, mithai New Delhi moderate offline offline"
Hot Curries,New Delhi,"north indian, mughlai, chinese",700,2,online,offline,60,3.4,77.09035702,28.61683827,expensive,"north indian, mughlai, chinese New Delhi expensive online offline"
Meenu Caterers,New Delhi,"north indian, chinese",600,2,online,offline,82,2.7,77.090369,28.6168861,moderate,"north indian, chinese New Delhi moderate online offline"
Moti Mahal Delux,New Delhi,"north indian, mughlai, chinese",1000,3,online,online,105,2.6,77.0820473,28.6300262,expensive,"north indian, mughlai, chinese New Delhi expensive online online"
New Kadimi,New Delhi,"north indian, south indian, chinese, fast food",600,2,online,offline,162,2.5,77.0944197,28.6158468,moderate,"north indian, south indian, chinese, fast food New Delhi moderate online offline"
Polka Pastry & Snack Bar,New Delhi,"bakery, fast food",350,1,offline,offline,62,3.2,77.0966703,28.6311148,moderate,"bakery, fast food New Delhi moderate offline offline"
Pudding & Pie,New Delhi,"bakery, fast food",450,1,offline,offline,66,3.4,77.0888248,28.6180223,moderate,"bakery, fast food New Delhi moderate offline offline"
Singz,New Delhi,"north indian, chinese",700,2,offline,offline,46,2.5,77.0859354,28.6219218,expensive,"north indian, chinese New Delhi expensive offline offline"
Slice of Italy,New Delhi,"italian, pizza, bakery",700,2,online,offline,198,3.4,77.0884552,28.6216295,expensive,"italian, pizza, bakery New Delhi expensive online offline"
Subway,New Delhi,"american, fast food, salad, healthy food",500,2,online,offline,69,3.1,77.0844615,28.6219496,moderate,"american, fast food, salad, healthy food New Delhi moderate online offline"
Suruchee,New Delhi,"bengali, north indian",500,2,online,offline,52,3.4,77.0935847,28.6343713,moderate,"bengali, north indian New Delhi moderate online offline"
The Bubble Tea Cafe,New Delhi,cafe,600,2,online,offline,182,3.0,77.0883654,28.6215998,moderate,cafe New Delhi moderate online offline
The Destination,New Delhi,"chinese, mughlai",1400,3,online,online,85,3.3,77.0910311,28.6284185,expensive,"chinese, mughlai New Delhi expensive online online"
The Night Delights,New Delhi,"north indian, chinese",800,2,online,offline,102,3.4,77.0887484,28.6202711,expensive,"north indian, chinese New Delhi expensive online offline"
Tingling Pepper,New Delhi,"north indian, chinese, continental, fast food",400,1,online,offline,69,3.4,77.0960937,28.6361792,moderate,"north indian, chinese, continental, fast food New Delhi moderate online offline"
Wah G Wah,New Delhi,"north indian, chinese",450,1,online,offline,37,2.7,77.0910906,28.6298512,moderate,"north indian, chinese New Delhi moderate online offline"
Midnight Hunger Hub,New Delhi,"north indian, fast food, italian, asian",800,2,online,offline,50,4.5,77.0900756,28.6122787,expensive,"north indian, fast food, italian, asian New Delhi expensive online offline"
BarShala,New Delhi,finger food,600,2,offline,offline,40,3.5,77.0816045,28.6295635,moderate,finger food New Delhi moderate offline offline
Bemisaal Reloaded,New Delhi,"north indian, chinese",1250,3,online,offline,128,3.8,77.091394,28.6291122,expensive,"north indian, chinese New Delhi expensive online offline"
Bon App��tit,New Delhi,fast food,350,1,online,offline,212,3.8,77.0820832,28.6296625,moderate,fast food New Delhi moderate online offline
Burger Point,New Delhi,"burger, fast food",300,1,offline,offline,164,3.6,77.0901845,28.6180324,moderate,"burger, fast food New Delhi moderate offline offline"
Cakes 'n' Crumbs,New Delhi,bakery,400,1,online,offline,70,3.6,77.0871273,28.6331568,moderate,bakery New Delhi moderate online offline
China Fort,New Delhi,"chinese, north indian, thai",700,2,online,offline,74,3.5,77.0910903,28.6285431,expensive,"chinese, north indian, thai New Delhi expensive online offline"
Giani,New Delhi,"ice cream, desserts",400,1,online,offline,33,3.5,77.0887384,28.6180887,moderate,"ice cream, desserts New Delhi moderate online offline"
Hot Cherries,New Delhi,bakery,400,1,offline,offline,116,3.6,77.0871808,28.6335873,moderate,bakery New Delhi moderate offline offline
KFC,New Delhi,"american, fast food",500,2,online,offline,62,3.5,77.0817882,28.6209459,moderate,"american, fast food New Delhi moderate online offline"
McDonald's,New Delhi,"fast food, burger",500,2,online,offline,179,3.6,77.0819207,28.6299374,moderate,"fast food, burger New Delhi moderate online offline"
Pasta Xpress,New Delhi,"italian, fast food",700,2,online,offline,56,3.6,77.0941454,28.6157655,expensive,"italian, fast food New Delhi expensive online offline"
Tandoor Bar-Be-Que,New Delhi,"north indian, mughlai",600,2,online,offline,131,3.5,77.0846413,28.6218773,moderate,"north indian, mughlai New Delhi moderate online offline"
TBK Kulcha's,New Delhi,"fast food, street food",300,1,online,offline,155,3.6,77.091738,28.6191652,moderate,"fast food, street food New Delhi moderate online offline"
The Pindi,New Delhi,"north indian, chinese, mughlai",1300,3,online,online,100,3.5,77.0801897,28.620389,expensive,"north indian, chinese, mughlai New Delhi expensive online online"
The Tangy Tomatoes,New Delhi,"italian, chinese, fast food, north indian",400,1,online,offline,32,3.7,77.0936598,28.6341679,moderate,"italian, chinese, fast food, north indian New Delhi moderate online offline"
Thela,New Delhi,"north indian, fast food, chinese",500,2,online,offline,87,3.5,77.0905124,28.6330626,moderate,"north indian, fast food, chinese New Delhi moderate online offline"
Wah Ji Wah,New Delhi,"north indian, chinese",450,1,online,online,61,3.7,77.0884763,28.6217284,moderate,"north indian, chinese New Delhi moderate online online"
Muffins,New Delhi,"bakery, fast food",250,1,offline,offline,66,1.9,77.0917978,28.6278364,moderate,"bakery, fast food New Delhi moderate offline offline"
Food Scouts,New Delhi,"north indian, chinese, continental",700,2,online,offline,22,4.3,77.090872,28.622406,expensive,"north indian, chinese, continental New Delhi expensive online offline"
Aggarwal Sweet India,New Delhi,"mithai, street food",150,1,offline,offline,15,2.8,77.2450727,28.5830716,cheap,"mithai, street food New Delhi cheap offline offline"
Bhola Dhaba,New Delhi,north indian,300,1,online,offline,30,2.8,77.2459911,28.5835117,moderate,north indian New Delhi moderate online offline
Cake Me Up,New Delhi,bakery,400,1,offline,offline,7,3.1,77.2415481,28.5799189,moderate,bakery New Delhi moderate offline offline
Chawla Snacks,New Delhi,north indian,250,1,offline,offline,4,2.9,77.2467751,28.5826876,moderate,north indian New Delhi moderate offline offline
Chef Joint,New Delhi,"north indian, chinese",400,1,online,offline,45,3.2,77.2475434,28.5795335,moderate,"north indian, chinese New Delhi moderate online offline"
China Hut,New Delhi,chinese,400,1,online,offline,16,3.0,77.2472956,28.5817203,moderate,chinese New Delhi moderate online offline
Chinese Hut,New Delhi,"chinese, fast food",450,1,online,offline,5,2.8,77.247116,28.5816136,moderate,"chinese, fast food New Delhi moderate online offline"
Curries & Kebabs,New Delhi,"north indian, mughlai, chinese",500,2,online,offline,7,2.7,77.2583408,28.5791847,moderate,"north indian, mughlai, chinese New Delhi moderate online offline"
Giani's,New Delhi,"ice cream, desserts",400,1,offline,offline,9,3.1,77.2412786,28.5793555,moderate,"ice cream, desserts New Delhi moderate offline offline"
Green Chick Chop,New Delhi,"raw meats, north indian, fast food",350,1,offline,offline,15,3.1,77.2479691,28.584787,moderate,"raw meats, north indian, fast food New Delhi moderate offline offline"
Kabul Restaurant,New Delhi,"mughlai, afghani",450,1,offline,offline,25,2.8,77.2464868,28.5813084,moderate,"mughlai, afghani New Delhi moderate offline offline"
Kadimi Dukan,New Delhi,"street food, mithai",200,1,offline,offline,10,3.2,77.2481871,28.5825578,cheap,"street food, mithai New Delhi cheap offline offline"
Kadimi Sweets,New Delhi,"mithai, street food",200,1,offline,offline,42,3.1,77.24752,28.5819657,cheap,"mithai, street food New Delhi cheap offline offline"
McDonald's,New Delhi,"fast food, burger",500,2,online,offline,62,3.4,77.2419073,28.5812079,moderate,"fast food, burger New Delhi moderate online offline"
Modi Pastry Corner,New Delhi,"bakery, fast food",100,1,offline,offline,17,2.6,77.2467562,28.5813908,cheap,"bakery, fast food New Delhi cheap offline offline"
New Evergreen Hotel,New Delhi,"north indian, mughlai",450,1,offline,offline,7,2.9,77.2476766,28.5844282,moderate,"north indian, mughlai New Delhi moderate offline offline"
Nikku Hotel,New Delhi,"north indian, chinese, fast food",500,2,online,offline,9,2.6,77.2515162,28.5823905,moderate,"north indian, chinese, fast food New Delhi moderate online offline"
Om Hotel,New Delhi,"north indian, mughlai, south indian",600,2,offline,offline,140,3.3,77.2417277,28.5805634,moderate,"north indian, mughlai, south indian New Delhi moderate offline offline"
Pakeeza Burger,New Delhi,"north indian, afghani",600,2,offline,offline,15,2.6,77.246482,28.5813093,moderate,"north indian, afghani New Delhi moderate offline offline"
Paljees Fresh Baked,New Delhi,"bakery, desserts, fast food",200,1,offline,offline,16,3.1,77.2450505,28.5828513,cheap,"bakery, desserts, fast food New Delhi cheap offline offline"
Pinka's Rasoi,New Delhi,north indian,500,2,online,offline,21,3.1,77.2416379,28.5798378,moderate,north indian New Delhi moderate online offline
Republic of Chicken,New Delhi,"raw meats, fast food",400,1,offline,offline,5,2.8,77.2450954,28.5829004,moderate,"raw meats, fast food New Delhi moderate offline offline"
Sandwich & Sons,New Delhi,fast food,500,2,online,offline,24,3.2,77.2487324,28.5853525,moderate,fast food New Delhi moderate online offline
Simple Restaurant,New Delhi,"north indian, chinese",500,2,offline,offline,15,3.0,77.2439728,28.5837347,moderate,"north indian, chinese New Delhi moderate offline offline"
Subway,New Delhi,"american, fast food, salad, healthy food",500,2,online,offline,78,3.3,77.2450505,28.5828513,moderate,"american, fast food, salad, healthy food New Delhi moderate online offline"
Tempting Bar-B-Que,New Delhi,"north indian, chinese",650,2,online,offline,29,3.3,77.2451403,28.5824117,expensive,"north indian, chinese New Delhi expensive online offline"
The Biryani Hut,New Delhi,biryani,400,1,offline,offline,5,2.9,77.2473854,28.5818185,moderate,biryani New Delhi moderate offline offline
Beliram Degchiwala,New Delhi,"north indian, mughlai",900,2,online,offline,107,3.5,77.2450505,28.5828513,expensive,"north indian, mughlai New Delhi expensive online offline"
Instapizza,New Delhi,"pizza, fast food",900,2,online,offline,55,3.9,77.2488222,28.5853611,expensive,"pizza, fast food New Delhi expensive online offline"
Janta Bakery,New Delhi,"bakery, fast food",150,1,offline,offline,32,3.6,77.2482385,28.5823926,cheap,"bakery, fast food New Delhi cheap offline offline"
Pal Refreshment Corner,New Delhi,"north indian, chinese",500,2,online,offline,32,3.5,77.2417277,28.580653,moderate,"north indian, chinese New Delhi moderate online offline"
Transform Nutrition,New Delhi,"healthy food, continental",400,1,offline,offline,19,3.5,77.2415673,28.5807469,moderate,"healthy food, continental New Delhi moderate offline offline"
Bhashi Caterers,New Delhi,north indian,600,2,online,offline,3,0.0,77.2515611,28.5819018,moderate,north indian New Delhi moderate online offline
Birbal Ji Dhaba,New Delhi,north indian,350,1,offline,offline,1,0.0,77.2512383,28.5815771,moderate,north indian New Delhi moderate offline offline
Chaap Express,New Delhi,north indian,300,1,offline,offline,2,0.0,77.2460575,28.5835827,moderate,north indian New Delhi moderate offline offline
Daawat-e-Mehak,New Delhi,"north indian, mughlai, chinese",350,1,offline,offline,0,0.0,77.262305,28.5764607,moderate,"north indian, mughlai, chinese New Delhi moderate offline offline"
Delhi Biryani Hut,New Delhi,mughlai,300,1,offline,offline,0,0.0,77.2468941,28.5815151,moderate,mughlai New Delhi moderate offline offline
K. B. Eating Point,New Delhi,"chinese, south indian",250,1,online,offline,0,0.0,77.2603162,28.5798205,moderate,"chinese, south indian New Delhi moderate online offline"
Kashmiri Wazwan,New Delhi,kashmiri,250,1,offline,offline,1,0.0,77.247005,28.5815244,moderate,kashmiri New Delhi moderate offline offline
Maan Singh Halwai,New Delhi,mithai,100,1,offline,offline,0,0.0,77.258251,28.5792658,cheap,mithai New Delhi cheap offline offline
Mughlai Darbar Muradabadi,New Delhi,mughlai,300,1,offline,offline,0,0.0,77.2487324,28.5852629,moderate,mughlai New Delhi moderate offline offline
P.S. Chinese & Thai Food,New Delhi,chinese,300,1,offline,offline,0,0.0,77.2585204,28.5791121,moderate,chinese New Delhi moderate offline offline
Pak Afghan Restaurant,New Delhi,afghani,300,1,offline,offline,0,0.0,77.2467645,28.5814249,moderate,afghani New Delhi moderate offline offline
Pakeeza Restaurants,New Delhi,mughlai,500,2,offline,offline,0,0.0,77.2463975,28.5812764,moderate,mughlai New Delhi moderate offline offline
Radhe Shyam Chole Bhature,New Delhi,street food,100,1,offline,offline,0,0.0,77.2490554,28.5827894,cheap,street food New Delhi cheap offline offline
Sanjha Chulha,New Delhi,"north indian, mughlai",700,2,offline,online,1,0.0,77.2574428,28.5738108,expensive,"north indian, mughlai New Delhi expensive offline online"
Sardar A Pure Meat Shop,New Delhi,"raw meats, fast food",300,1,offline,offline,3,0.0,77.247116,28.5843025,moderate,"raw meats, fast food New Delhi moderate offline offline"
Shahi Muradabadi & Hyderabadi,New Delhi,mughlai,200,1,offline,offline,0,0.0,77.2622917,28.5771398,cheap,mughlai New Delhi cheap offline offline
Shankar Chinese Foods,New Delhi,"chinese, fast food",200,1,offline,offline,0,0.0,77.2422216,28.5794004,cheap,"chinese, fast food New Delhi cheap offline offline"
Shri Ram Sweets,New Delhi,"south indian, street food, chinese",300,1,offline,offline,2,0.0,77.2584306,28.5792829,moderate,"south indian, street food, chinese New Delhi moderate offline offline"
Subhash Punjabi Family Dhaba,New Delhi,north indian,350,1,online,offline,1,0.0,77.251335,28.5815991,moderate,north indian New Delhi moderate online offline
Tandoori Nature,New Delhi,north indian,400,1,offline,offline,0,0.0,77.2479992,28.5832431,moderate,north indian New Delhi moderate offline offline
Tinker Koch,New Delhi,north indian,300,1,offline,offline,0,0.0,77.2474752,28.5839782,moderate,north indian New Delhi moderate offline offline
Wakhra Swag,New Delhi,"south indian, chinese, fast food",200,1,offline,offline,0,0.0,77.2569041,28.5744768,cheap,"south indian, chinese, fast food New Delhi cheap offline offline"
Chawla's�_,New Delhi,"north indian, mughlai",800,2,online,online,126,2.3,77.2417277,28.5802945,expensive,"north indian, mughlai New Delhi expensive online online"
Barbeque Nation,New Delhi,"north indian, chinese",1600,3,offline,offline,744,4.0,77.2413236,28.580749,expensive,"north indian, chinese New Delhi expensive offline offline"
Novelty Dairy & Stores,New Delhi,fast food,200,1,offline,offline,352,4.1,77.2439279,28.5837753,cheap,fast food New Delhi cheap offline offline
Caara Cafe,New Delhi,"cafe, european",600,2,offline,offline,59,3.3,77.2225973,28.6274922,moderate,"cafe, european New Delhi moderate offline offline"
Cafe Coffee Day - The Lounge,New Delhi,cafe,750,2,offline,offline,81,3.3,77.22028926,28.62642941,expensive,cafe New Delhi expensive offline offline
Cafe Coffee Day,New Delhi,cafe,450,1,offline,offline,34,3.1,77.2198128,28.6290186,moderate,cafe New Delhi moderate offline offline
Costa Coffee,New Delhi,cafe,600,2,offline,offline,31,3.4,77.21958833,28.629035,moderate,cafe New Delhi moderate offline offline
Gulnar - Hotel Janpath,New Delhi,"north indian, chinese",2000,4,offline,online,40,3.2,77.21879444,28.62175556,expensive,"north indian, chinese New Delhi expensive offline online"
Kalpana Restaurant,New Delhi,"north indian, chinese, mughlai",500,2,online,offline,40,3.2,77.220734,28.6285904,moderate,"north indian, chinese, mughlai New Delhi moderate online offline"
Meenas,New Delhi,"north indian, chinese",550,2,offline,offline,7,2.9,77.2165193,28.6219039,moderate,"north indian, chinese New Delhi moderate offline offline"
Pizza Hut,New Delhi,"italian, pizza, fast food",1000,3,online,offline,116,3.4,77.2195131,28.62751063,expensive,"italian, pizza, fast food New Delhi expensive online offline"
Prince Chaat Corner,New Delhi,street food,150,1,offline,offline,12,3.2,77.2185552,28.628809,cheap,street food New Delhi cheap offline offline
Rajeev Restaurant,New Delhi,north indian,200,1,offline,offline,5,3.0,77.2166027,28.621945,cheap,north indian New Delhi cheap offline offline
RSVP,New Delhi,finger food,3000,4,offline,offline,16,2.7,77.2170731,28.6212756,expensive,finger food New Delhi expensive offline offline
Samridhi,New Delhi,"kerala, south indian",350,1,offline,offline,85,3.2,77.2167587,28.623172,moderate,"kerala, south indian New Delhi moderate offline offline"
Shan E Dilli,New Delhi,north indian,400,1,offline,offline,7,3.0,77.2209805,28.62913,moderate,north indian New Delhi moderate offline offline
Svasti Cafe,New Delhi,"north indian, fast food, bihari",800,2,offline,online,6,3.1,0.0,0.0,expensive,"north indian, fast food, bihari New Delhi expensive offline online"
The Zest,New Delhi,"north indian, continental",1100,3,offline,online,11,3.2,77.21957177,28.62727844,expensive,"north indian, continental New Delhi expensive offline online"
Masala Library,New Delhi,modern indian,5000,4,offline,offline,408,4.9,77.2186451,28.6182446,expensive,modern indian New Delhi expensive offline offline
Bhogal Chole Bhature Wala,New Delhi,street food,150,1,offline,offline,47,3.8,77.22037341,28.62921603,cheap,street food New Delhi cheap offline offline
Bunta Bar,New Delhi,"modern indian, north indian",1200,3,offline,online,450,3.9,77.2198128,28.6283018,expensive,"modern indian, north indian New Delhi expensive offline online"
Cafe Coffee Day The Square,New Delhi,cafe,700,2,offline,offline,49,3.7,77.2194865,28.626685,expensive,cafe New Delhi expensive offline offline
Cottage Caf�� by Smoothie factory,New Delhi,"cafe, desserts, healthy food, juices",650,2,online,offline,223,3.7,77.21970689,28.62590527,expensive,"cafe, desserts, healthy food, juices New Delhi expensive online offline"
Depaul's,New Delhi,fast food,200,1,offline,offline,475,3.7,77.2186451,28.6289072,cheap,fast food New Delhi cheap offline offline
Fresc Co,New Delhi,"italian, mediterranean",1900,3,online,online,1347,3.8,77.2197229,28.6282932,expensive,"italian, mediterranean New Delhi expensive online online"
Informal,New Delhi,"north indian, spanish, mediterranean",1200,3,offline,online,555,3.9,77.220458,28.627044,expensive,"north indian, spanish, mediterranean New Delhi expensive offline online"
Lutyens Cocktail House,New Delhi,"north indian, lebanese, european, mexican",2100,4,offline,online,299,3.9,77.2194535,28.6183217,expensive,"north indian, lebanese, european, mexican New Delhi expensive offline online"
McDonald's,New Delhi,"fast food, burger",500,2,online,offline,158,3.8,77.21920632,28.62662923,moderate,"fast food, burger New Delhi moderate online offline"
Office Office,New Delhi,"north indian, continental",1200,3,offline,offline,291,3.9,77.2196331,28.6269407,expensive,"north indian, continental New Delhi expensive offline offline"
Pappu Chat Bhandar,New Delhi,street food,150,1,offline,offline,19,3.5,77.2225973,28.6276714,cheap,street food New Delhi cheap offline offline
The Beer Cafe,New Delhi,"finger food, north indian",1250,3,offline,online,1058,3.6,77.21962843,28.62913863,expensive,"finger food, north indian New Delhi expensive offline online"
The Masala Trail,New Delhi,"north indian, south indian, street food",800,2,online,online,303,3.9,77.219697,28.62711,expensive,"north indian, south indian, street food New Delhi expensive online online"
Chill House Kafe,New Delhi,cafe,250,1,offline,offline,1,0.0,77.2186451,28.627832,moderate,cafe New Delhi moderate offline offline
Connoisseur,New Delhi,bakery,400,1,offline,offline,0,0.0,77.20999705,28.62569483,moderate,bakery New Delhi moderate offline offline
Mahesh Chaat Corner,New Delhi,"chinese, fast food, pizza",250,1,offline,offline,0,0.0,0.0,0.0,moderate,"chinese, fast food, pizza New Delhi moderate offline offline"
